cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles,snapshot_num
0.141851,0.164149,0.0,0.8641600009747242,0.13583999902527577,snapshot_131.xyz,32,10000,131
0.142165,0.163327,0.0,0.8704317106173506,0.12956828938264942,snapshot_132.xyz,32,10000,132
0.139446,0.161767,0.0,0.8620175932050418,0.1379824067949582,snapshot_133.xyz,32,10000,133
0.142486,0.163311,0.0,0.8724825639424165,0.12751743605758348,snapshot_134.xyz,32,10000,134
0.141434,0.162862,0.0,0.868428485466223,0.13157151453377702,snapshot_135.xyz,32,10000,135
0.145155,0.164554,0.0,0.8821116472404196,0.11788835275958043,snapshot_136.xyz,32,10000,136
0.141187,0.163285,0.0,0.8646660746547448,0.13533392534525523,snapshot_137.xyz,32,10000,137
0.143221,0.164301,0.0,0.8716988941028965,0.12830110589710353,snapshot_138.xyz,32,10000,138
0.144347,0.163953,0.0,0.8804169487597057,0.11958305124029434,snapshot_139.xyz,32,10000,139
0.141195,0.163426,0.0,0.8639690134984641,0.1360309865015359,snapshot_140.xyz,32,10000,140
0.140622,0.161672,0.0,0.8697981097530803,0.13020189024691975,snapshot_141.xyz,32,10000,141
0.141113,0.16321,0.0,0.8646100116414435,0.13538998835855653,snapshot_142.xyz,32,10000,142
0.139984,0.1619,0.0,0.8646324891908586,0.13536751080914144,snapshot_143.xyz,32,10000,143
0.141934,0.162697,0.0,0.8723824041008746,0.12761759589912536,snapshot_144.xyz,32,10000,144
0.143571,0.163655,0.0,0.8772784210687117,0.12272157893128832,snapshot_145.xyz,32,10000,145
0.143788,0.16407,0.0,0.8763820320594868,0.12361796794051316,snapshot_146.xyz,32,10000,146
0.141157,0.162597,0.0,0.8681402485900724,0.13185975140992756,snapshot_147.xyz,32,10000,147
0.142956,0.162514,0.0,0.8796534452416408,0.1203465547583592,snapshot_148.xyz,32,10000,148
0.141945,0.16397,0.0,0.8656766481673476,0.13432335183265243,snapshot_149.xyz,32,10000,149
0.136944,0.159961,0.0,0.8561086764898945,0.14389132351010547,snapshot_150.xyz,32,10000,150
0.13911,0.161568,0.0,0.8609997029114678,0.13900029708853223,snapshot_151.xyz,32,10000,151
0.139248,0.163497,0.0,0.8516853520248079,0.14831464797519212,snapshot_152.xyz,32,10000,152
0.141117,0.162286,0.0,0.8695574479622394,0.13044255203776056,snapshot_153.xyz,32,10000,153
0.142179,0.163212,0.0,0.8711307992059407,0.12886920079405928,snapshot_154.xyz,32,10000,154
0.143489,0.165163,0.0,0.8687720615392067,0.13122793846079328,snapshot_155.xyz,32,10000,155
0.144276,0.166279,0.0,0.8676742102129552,0.1323257897870448,snapshot_156.xyz,32,10000,156
0.139004,0.161402,0.0,0.8612284853967113,0.13877151460328874,snapshot_157.xyz,32,10000,157
0.142918,0.164936,0.0,0.8665057961876121,0.13349420381238786,snapshot_158.xyz,32,10000,158
0.138306,0.161506,0.0,0.8563520859906134,0.1436479140093866,snapshot_159.xyz,32,10000,159
0.14284,0.162602,0.0,0.878463979532847,0.12153602046715295,snapshot_160.xyz,32,10000,160
0.141509,0.162539,0.0,0.8706156676243856,0.12938433237561442,snapshot_161.xyz,32,10000,161
0.139868,0.161854,0.0,0.8641615282909288,0.13583847170907115,snapshot_162.xyz,32,10000,162
0.14384,0.164318,0.0,0.8753757957131902,0.12462420428680976,snapshot_163.xyz,32,10000,163
0.143206,0.163555,0.0,0.8755831371709822,0.12441686282901776,snapshot_164.xyz,32,10000,164
0.141556,0.164252,0.0,0.8618220782699753,0.13817792173002474,snapshot_165.xyz,32,10000,165
0.141631,0.161871,0.0,0.8749621612271501,0.1250378387728499,snapshot_166.xyz,32,10000,166
0.141698,0.161938,0.0,0.8750138942064246,0.12498610579357539,snapshot_167.xyz,32,10000,167
0.147349,0.166531,0.0,0.8848142387903754,0.11518576120962465,snapshot_168.xyz,32,10000,168
0.148093,0.165877,0.0,0.8927880296846459,0.10721197031535412,snapshot_169.xyz,32,10000,169
0.14977,0.168531,0.0,0.8886792340874973,0.11132076591250273,snapshot_170.xyz,32,10000,170
0.151728,0.170207,0.0,0.8914321972656823,0.10856780273431765,snapshot_171.xyz,32,10000,171
0.149754,0.167918,0.0,0.8918281542181302,0.10817184578186978,snapshot_172.xyz,32,10000,172
0.147374,0.16602,0.0,0.8876882303336947,0.1123117696663053,snapshot_173.xyz,32,10000,173
0.150694,0.168716,0.0,0.8931814410014461,0.10681855899855386,snapshot_174.xyz,32,10000,174
0.149766,0.1676,0.0,0.8935918854415276,0.10640811455847243,snapshot_175.xyz,32,10000,175
0.146202,0.166125,0.0,0.8800722347629797,0.11992776523702031,snapshot_176.xyz,32,10000,176
0.148428,0.167666,0.0,0.8852599811530065,0.11474001884699347,snapshot_177.xyz,32,10000,177
0.146455,0.165114,0.0,0.8869932289206245,0.11300677107937551,snapshot_178.xyz,32,10000,178
0.147058,0.165313,0.0,0.8895731128223431,0.11042688717765692,snapshot_179.xyz,32,10000,179
0.147624,0.166871,0.0,0.8846594075663238,0.11534059243367623,snapshot_180.xyz,32,10000,180
0.146884,0.167132,0.0,0.8788502501017159,0.12114974989828409,snapshot_181.xyz,32,10000,181
0.147605,0.165988,0.0,0.8892510301949538,0.11074896980504623,snapshot_182.xyz,32,10000,182
0.149267,0.167234,0.0,0.8925637131205378,0.10743628687946216,snapshot_183.xyz,32,10000,183
0.148586,0.167883,0.0,0.8850568550716867,0.11494314492831326,snapshot_184.xyz,32,10000,184
0.1482,0.166444,0.0,0.8903895604527648,0.10961043954723515,snapshot_185.xyz,32,10000,185
0.145941,0.166995,0.0,0.8739243689930836,0.12607563100691643,snapshot_186.xyz,32,10000,186
0.1489,0.167869,0.0,0.8870011735341249,0.11299882646587511,snapshot_187.xyz,32,10000,187
0.145636,0.165495,0.0,0.8800024169914498,0.11999758300855023,snapshot_188.xyz,32,10000,188
0.144425,0.165159,0.0,0.8744603684933911,0.12553963150660885,snapshot_189.xyz,32,10000,189
0.148078,0.166324,0.0,0.890298453620644,0.10970154637935603,snapshot_190.xyz,32,10000,190
0.149676,0.167574,0.0,0.8931934548318952,0.10680654516810484,snapshot_191.xyz,32,10000,191
0.147077,0.166924,0.0,0.8811015791617743,0.11889842083822566,snapshot_192.xyz,32,10000,192
0.147494,0.166809,0.0,0.8842088856116874,0.11579111438831258,snapshot_193.xyz,32,10000,193
0.147174,0.167754,0.0,0.8773203619585823,0.12267963804141768,snapshot_194.xyz,32,10000,194
0.147963,0.166147,0.0,0.8905547497095947,0.1094452502904053,snapshot_195.xyz,32,10000,195
0.145941,0.166266,0.0,0.8777561257262458,0.12224387427375416,snapshot_196.xyz,32,10000,196
0.144254,0.165723,0.0,0.8704525020667016,0.12954749793329845,snapshot_197.xyz,32,10000,197
0.149317,0.166561,0.0,0.896470362209641,0.10352963779035895,snapshot_198.xyz,32,10000,198
0.149837,0.168001,0.0,0.8918815959428812,0.10811840405711881,snapshot_199.xyz,32,10000,199
0.146403,0.165661,0.0,0.88375055082367,0.11624944917632996,snapshot_200.xyz,32,10000,200
0.14925,0.168085,0.0,0.8879435999643037,0.11205640003569628,snapshot_201.xyz,32,10000,201
0.149085,0.165931,0.0,0.8984758725012204,0.10152412749877959,snapshot_202.xyz,32,10000,202
0.149175,0.168407,0.0,0.8858004714768388,0.11419952852316118,snapshot_203.xyz,32,10000,203
0.148841,0.167281,0.0,0.8897663213395424,0.11023367866045763,snapshot_204.xyz,32,10000,204
0.145338,0.165604,0.0,0.8776237288954373,0.12237627110456273,snapshot_205.xyz,32,10000,205
0.148684,0.167123,0.0,0.8896680887729398,0.11033191122706021,snapshot_206.xyz,32,10000,206
0.14714,0.166258,0.0,0.8850100446294313,0.11498995537056866,snapshot_207.xyz,32,10000,207
0.151272,0.168698,0.0,0.8967029840306346,0.10329701596936536,snapshot_208.xyz,32,10000,208
0.146522,0.165578,0.0,0.884912246796072,0.11508775320392794,snapshot_209.xyz,32,10000,209
0.147754,0.167198,0.0,0.8837067429036232,0.11629325709637683,snapshot_210.xyz,32,10000,210
0.149947,0.167247,0.0,0.896560177462077,0.10343982253792305,snapshot_211.xyz,32,10000,211
0.146683,0.16521,0.0,0.8878578778524303,0.11214212214756969,snapshot_212.xyz,32,10000,212
0.147527,0.166439,0.0,0.8863727852246167,0.11362721477538329,snapshot_213.xyz,32,10000,213
0.149022,0.167988,0.0,0.8870990785056074,0.11290092149439257,snapshot_214.xyz,32,10000,214
0.148057,0.166906,0.0,0.8870681701077253,0.11293182989227468,snapshot_215.xyz,32,10000,215
0.146581,0.165105,0.0,0.8878047303231277,0.11219526967687232,snapshot_216.xyz,32,10000,216
0.147043,0.166091,0.0,0.8853158810531577,0.11468411894684227,snapshot_217.xyz,32,10000,217
0.14977,0.167207,0.0,0.8957160884412734,0.10428391155872663,snapshot_218.xyz,32,10000,218
0.147553,0.166668,0.0,0.8853109175126598,0.11468908248734022,snapshot_219.xyz,32,10000,219
0.148577,0.167484,0.0,0.8871116046905972,0.11288839530940276,snapshot_220.xyz,32,10000,220
0.149227,0.166867,0.0,0.8942870669455315,0.1057129330544685,snapshot_221.xyz,32,10000,221
0.148215,0.165467,0.0,0.8957375186593097,0.10426248134069027,snapshot_222.xyz,32,10000,222
0.150635,0.169916,0.0,0.8865262835754136,0.11347371642458637,snapshot_223.xyz,32,10000,223
0.148605,0.165918,0.0,0.8956532745090947,0.10434672549090529,snapshot_224.xyz,32,10000,224
0.147542,0.166589,0.0,0.885664719759408,0.11433528024059203,snapshot_225.xyz,32,10000,225
0.148716,0.167217,0.0,0.8893593354742639,0.11064066452573607,snapshot_226.xyz,32,10000,226
0.148724,0.16696,0.0,0.8907762338284619,0.10922376617153806,snapshot_227.xyz,32,10000,227
0.146746,0.166598,0.0,0.8808389056291192,0.11916109437088085,snapshot_228.xyz,32,10000,228
0.146895,0.16688,0.0,0.880243288590604,0.11975671140939603,snapshot_229.xyz,32,10000,229
0.151115,0.169334,0.0,0.8924079039058901,0.10759209609410991,snapshot_230.xyz,32,10000,230
0.145934,0.165926,0.0,0.8795125537890386,0.12048744621096141,snapshot_231.xyz,32,10000,231
0.151331,0.167431,0.0,0.9038409852416817,0.09615901475831834,snapshot_232.xyz,32,10000,232
0.150832,0.169184,0.0,0.8915263854738036,0.10847361452619642,snapshot_233.xyz,32,10000,233
0.149238,0.16635,0.0,0.8971325518485123,0.10286744815148774,snapshot_234.xyz,32,10000,234
0.148833,0.166412,0.0,0.8943645890921327,0.10563541090786732,snapshot_235.xyz,32,10000,235
0.146977,0.166566,0.0,0.8823949665598021,0.1176050334401979,snapshot_236.xyz,32,10000,236
0.14803,0.166412,0.0,0.8895392159219286,0.11046078407807136,snapshot_237.xyz,32,10000,237
0.147058,0.165644,0.0,0.8877955132694211,0.11220448673057892,snapshot_238.xyz,32,10000,238
0.148514,0.167555,0.0,0.8863597027841604,0.11364029721583957,snapshot_239.xyz,32,10000,239
0.14714,0.165794,0.0,0.887486881310542,0.11251311868945801,snapshot_240.xyz,32,10000,240
0.151103,0.167732,0.0,0.9008597047671285,0.09914029523287149,snapshot_241.xyz,32,10000,241
0.149907,0.16741,0.0,0.8954483005794158,0.10455169942058418,snapshot_242.xyz,32,10000,242
0.145483,0.165484,0.0,0.8791363515506031,0.1208636484493969,snapshot_243.xyz,32,10000,243
0.147597,0.165914,0.0,0.8895994310305338,0.11040056896946615,snapshot_244.xyz,32,10000,244
0.146403,0.166059,0.0,0.8816324318465123,0.1183675681534877,snapshot_245.xyz,32,10000,245
0.147884,0.166531,0.0,0.8880268538590411,0.11197314614095888,snapshot_246.xyz,32,10000,246
0.148298,0.16714,0.0,0.8872681584300587,0.11273184156994132,snapshot_247.xyz,32,10000,247
